country,country_code,year,month,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Argentina,ARG,2011,7,20.00,4.13,4.84,4.92,19.06
Australia,AUS,2011,7,4.56,0.92,4.94,1.12,21.62
Brazil,BRA,2011,7,9.50,1.54,6.16,2.34,51.60
Britain,GBR,2011,7,2.39,0.61,3.89,0.59,-4.26
Canada,CAN,2011,7,4.73,0.95,5.00,1.16,23.02
Chile,CHL,2011,7,1850.00,462.75,4.00,455.10,-1.65
China,CHN,2011,7,14.65,6.45,2.27,3.60,-44.08
Colombia,COL,2011,7,8400.00,1770.50,4.74,2066.42,16.71
Costa Rica,CRI,2011,7,2050.00,504.31,4.07,504.31,0.00
Czech Republic,CZE,2011,7,69.32,17.02,4.07,17.05,0.18
Denmark,DNK,2011,7,28.50,5.20,5.48,7.01,34.87
Egypt,EGY,2011,7,14.09,5.96,2.36,3.47,-41.86
Euro area,,2011,7,3.44,0.70,4.93,0.85,21.24
Hong Kong,HKG,2011,7,15.10,7.79,1.94,3.71,-52.33
Hungary,HUN,2011,7,760.00,188.07,4.04,186.96,-0.59
India,IND,2011,7,84.00,44.40,1.89,20.66,-53.46
Indonesia,IDN,2011,7,22534.00,8523.00,2.64,5543.42,-34.96
Israel,ISR,2011,7,15.90,3.40,4.67,3.91,14.93
Japan,JPN,2011,7,320.00,78.37,4.08,78.72,0.45
Latvia,LVA,2011,7,1.60,0.49,3.23,0.39,-20.44
Lithuania,LTU,2011,7,7.30,2.41,3.03,1.80,-25.44
Malaysia,MYS,2011,7,7.20,2.97,2.42,1.77,-40.42
Mexico,MEX,2011,7,32.00,11.67,2.74,7.87,-32.55
New Zealand,NZL,2011,7,5.10,1.16,4.41,1.25,8.52
Norway,NOR,2011,7,45.00,5.41,8.31,11.07,104.47
Pakistan,PAK,2011,7,205.13,86.35,2.38,50.46,-41.56
Peru,PER,2011,7,10.00,2.74,3.65,2.46,-10.14
Philippines,PHL,2011,7,118.00,42.41,2.78,29.03,-31.55
Poland,POL,2011,7,8.63,2.80,3.09,2.12,-24.09
Russia,RUS,2011,7,75.00,27.75,2.70,18.45,-33.52
Saudi Arabia,SAU,2011,7,10.00,3.75,2.67,2.46,-34.40
Singapore,SGP,2011,7,4.41,1.21,3.65,1.08,-10.12
South Africa,ZAF,2011,7,19.45,6.77,2.87,4.78,-29.31
South Korea,KOR,2011,7,3700.00,1056.20,3.50,910.21,-13.82
Sri Lanka,LKA,2011,7,280.00,109.48,2.56,68.88,-37.08
Sweden,SWE,2011,7,48.40,6.34,7.64,11.91,87.94
Switzerland,CHE,2011,7,6.50,0.81,8.06,1.60,98.35
Taiwan,TWN,2011,7,75.00,28.83,2.60,18.45,-36.01
Thailand,THA,2011,7,70.00,29.75,2.35,17.22,-42.12
Turkey,TUR,2011,7,6.50,1.72,3.77,1.60,-7.19
UAE,ARE,2011,7,12.00,3.67,3.27,2.95,-19.63
Ukraine,UKR,2011,7,16.50,7.99,2.06,4.06,-49.22
United States,USA,2011,7,4.07,1.00,4.07,1.00,0.00
Uruguay,URY,2011,7,90.00,18.45,4.88,22.14,20.00
Venezuela,VEN,2011,7,28.00,4.29,6.52,6.89,60.39
Austria,AUT,2011,7,3.09,0.70,4.43,0.76,8.98
Belgium,BEL,2011,7,3.75,0.70,5.38,0.92,32.26
Estonia,EST,2011,7,2.20,0.70,3.15,0.54,-22.41
Finland,FIN,2011,7,3.75,0.70,5.38,0.92,32.26
France,FRA,2011,7,3.50,0.70,5.02,0.86,23.44
Germany,DEU,2011,7,3.40,0.70,4.87,0.84,19.91
Greece,GRC,2011,7,3.26,0.70,4.67,0.80,14.97
Ireland,IRL,2011,7,3.80,0.70,5.45,0.93,34.02
Italy,ITA,2011,7,3.50,0.70,5.02,0.86,23.44
Netherlands,NLD,2011,7,3.25,0.70,4.66,0.80,14.62
Portugal,PRT,2011,7,2.90,0.70,4.16,0.71,2.28
Spain,ESP,2011,7,3.50,0.70,5.02,0.86,23.44
,,,,,,,,
