country,country_code,year,month,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Argentina,ARG,2013,7,21,5.41,3.88,4.61,-14.85
Australia,AUS,2013,7,5.035,1.09,4.62,1.10,1.39
Brazil,BRA,2013,7,12,2.27,5.28,2.63,15.98
Britain,GBR,2013,7,2.69,0.67,4.02,0.59,-11.78
Canada,CAN,2013,7,5.53,1.05,5.26,1.21,15.44
Chile,CHL,2013,7,2000,508.16,3.94,438.92,-13.63
China,CHN,2013,7,16,6.13,2.61,3.51,-42.76
Colombia,COL,2013,7,8600,1921.00,4.48,1887.34,-1.75
Costa Rica,CRI,2013,7,2150,498.68,4.31,471.84,-5.38
Czech Republic,CZE,2013,7,70.45,20.18,3.49,15.46,-23.40
Denmark,DNK,2013,7,28.5,5.80,4.91,6.25,7.83
Egypt,EGY,2013,7,16.75,7.01,2.39,3.68,-47.56
Euro area,,2013,7,3.623870489,0.78,4.66,0.80,2.25
Hong Kong,HKG,2013,7,17,7.76,2.19,3.73,-51.90
Hungary,HUN,2013,7,860,228.46,3.76,188.73,-17.39
India,IND,2013,7,90,59.98,1.50,19.75,-67.07
Indonesia,IDN,2013,7,27939,9965.00,2.80,6131.46,-38.47
Israel,ISR,2013,7,17.5,3.65,4.80,3.84,5.34
Japan,JPN,2013,7,320,100.11,3.20,70.23,-29.85
Latvia,LVA,2013,7,1.69,0.55,3.09,0.37,-32.12
Lithuania,LTU,2013,7,8.6,2.69,3.20,1.89,-29.72
Malaysia,MYS,2013,7,7.3,3.18,2.30,1.60,-49.63
Mexico,MEX,2013,7,37,12.94,2.86,8.12,-37.25
New Zealand,NZL,2013,7,5.5,1.28,4.30,1.21,-5.65
Norway,NOR,2013,7,46,6.13,7.51,10.10,64.73
Pakistan,PAK,2013,7,300,100.04,3.00,65.84,-34.19
Peru,PER,2013,7,10,2.78,3.59,2.19,-21.14
Philippines,PHL,2013,7,115.21,43.44,2.65,25.28,-41.80
Poland,POL,2013,7,9.2,3.37,2.73,2.02,-40.01
Russia,RUS,2013,7,87,32.94,2.64,19.09,-42.04
Saudi Arabia,SAU,2013,7,10,3.75,2.67,2.19,-41.48
Singapore,SGP,2013,7,4.7,1.27,3.69,1.03,-19.08
South Africa,ZAF,2013,7,22.5,10.05,2.24,4.94,-50.85
South Korea,KOR,2013,7,3900,1135.70,3.43,855.89,-24.64
Sri Lanka,LKA,2013,7,370,130.80,2.83,81.20,-37.92
Sweden,SWE,2013,7,41.61,6.76,6.16,9.13,35.12
Switzerland,CHE,2013,7,6.5,0.97,6.72,1.43,47.46
Taiwan,TWN,2013,7,79,30.03,2.63,17.34,-42.26
Thailand,THA,2013,7,89,31.28,2.85,19.53,-37.55
Turkey,TUR,2013,7,8.5,1.96,4.34,1.87,-4.70
UAE,ARE,2013,7,12,3.67,3.27,2.63,-28.30
Ukraine,UKR,2013,7,19,8.16,2.33,4.17,-48.87
United States,USA,2013,7,4.56,1.00,4.56,1.00,0.00
Uruguay,URY,2013,7,105,21.09,4.98,23.04,9.29
Venezuela,VEN,2013,7,45,6.29,7.15,9.88,56.95
Austria,AUT,2013,7,3.39,0.78,4.36,0.74,-4.34
Belgium,BEL,2013,7,3.7,0.78,4.76,0.81,4.40
Estonia,EST,2013,7,2.75,0.78,3.54,0.60,-22.40
Finland,FIN,2013,7,4.1,0.78,5.27,0.90,15.69
France,FRA,2013,7,3.9,0.78,5.01,0.86,10.05
Germany,DEU,2013,7,3.64,0.78,4.68,0.80,2.71
Greece,GRC,2013,7,2.6,0.78,3.34,0.57,-26.64
Ireland,IRL,2013,7,3.46,0.78,4.45,0.76,-2.37
Italy,ITA,2013,7,3.75,0.78,4.82,0.82,5.81
Netherlands,NLD,2013,7,3.45,0.78,4.44,0.76,-2.65
Portugal,PRT,2013,7,2.95,0.78,3.79,0.65,-16.76
Spain,ESP,2013,7,3.5,0.78,4.50,0.77,-1.24
,,,,,,,,
