country,country_code,year,month,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Argentina,ARG,2009,7,11.50,3.81,3.02,3.22,-15.48
Australia,AUS,2009,7,4.34,1.29,3.37,1.22,-5.53
Brazil,BRA,2009,7,8.03,2.00,4.02,2.25,12.63
Britain,GBR,2009,7,2.29,0.62,3.69,0.64,-3.21
Canada,CAN,2009,7,3.89,1.16,3.35,1.09,-6.13
Chile,CHL,2009,7,1750.00,548.55,3.19,490.20,-10.64
China,CHN,2009,7,12.50,6.83,1.83,3.50,-48.76
Colombia,COL,2009,7,7000.00,2095.60,3.34,1960.78,-6.43
Costa Rica,CRI,2009,7,2000.00,582.57,3.43,560.22,-3.84
Czech Republic,CZE,2009,7,67.92,18.66,3.64,19.03,1.95
Denmark,DNK,2009,7,29.50,5.34,5.53,8.26,54.82
Egypt,EGY,2009,7,13.00,5.58,2.33,3.64,-34.80
Euro area,,2009,7,3.31,0.72,4.62,0.93,29.33
Hong Kong,HKG,2009,7,13.30,7.75,1.72,3.73,-51.93
Hungary,HUN,2009,7,720.00,199.16,3.62,201.68,1.27
India,IND,2009,7,#N/A,#N/A,#N/A,#N/A,#N/A
Indonesia,IDN,2009,7,20900.00,10200.00,2.05,5854.34,-42.60
Israel,ISR,2009,7,15.00,3.97,3.77,4.20,5.72
Japan,JPN,2009,7,320.00,92.57,3.46,89.64,-3.16
Latvia,LVA,2009,7,1.55,0.50,3.09,0.43,-13.46
Lithuania,LTU,2009,7,7.10,2.48,2.87,1.99,-19.65
Malaysia,MYS,2009,7,6.77,3.60,1.88,1.90,-47.35
Mexico,MEX,2009,7,33.00,13.81,2.39,9.24,-33.07
New Zealand,NZL,2009,7,4.90,1.59,3.08,1.37,-13.80
Norway,NOR,2009,7,40.00,6.51,6.15,11.20,72.13
Pakistan,PAK,2009,7,190.00,82.60,2.30,53.22,-35.57
Peru,PER,2009,7,8.06,3.03,2.66,2.26,-25.46
Philippines,PHL,2009,7,99.39,48.39,2.05,27.84,-42.46
Poland,POL,2009,7,7.60,3.16,2.41,2.13,-32.53
Russia,RUS,2009,7,67.00,32.80,2.04,18.77,-42.77
Saudi Arabia,SAU,2009,7,11.00,3.75,2.93,3.08,-17.84
Singapore,SGP,2009,7,4.22,1.46,2.88,1.18,-19.28
South Africa,ZAF,2009,7,17.95,8.28,2.17,5.03,-39.28
South Korea,KOR,2009,7,3400.00,1314.50,2.59,952.38,-27.55
Sri Lanka,LKA,2009,7,210.00,114.86,1.83,58.82,-48.79
Sweden,SWE,2009,7,39.00,7.91,4.93,10.92,38.12
Switzerland,CHE,2009,7,6.50,1.09,5.98,1.82,67.65
Taiwan,TWN,2009,7,75.00,33.18,2.26,21.01,-36.67
Thailand,THA,2009,7,64.49,34.17,1.89,18.06,-47.13
Turkey,TUR,2009,7,5.65,1.55,3.65,1.58,2.10
UAE,ARE,2009,7,10.00,3.67,2.72,2.80,-23.74
Ukraine,UKR,2009,7,14.00,7.66,1.83,3.92,-48.80
United States,USA,2009,7,3.57,1.00,3.57,1.00,0.00
Uruguay,URY,2009,7,61.00,23.17,2.63,17.09,-26.25
Venezuela,VEN,2009,7,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
