country,country_code,year,month,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Argentina,ARG,2010,7,14.00,3.93,3.56,3.75,-4.67
Australia,AUS,2010,7,4.35,1.13,3.84,1.17,2.77
Brazil,BRA,2010,7,8.71,1.77,4.91,2.33,31.44
Britain,GBR,2010,7,2.29,0.66,3.48,0.61,-6.69
Canada,CAN,2010,7,4.17,1.04,4.00,1.12,7.16
Chile,CHL,2010,7,1750.00,523.65,3.34,468.75,-10.48
China,CHN,2010,7,13.20,6.78,1.95,3.54,-47.83
Colombia,COL,2010,7,8200.00,1868.45,4.39,2196.43,17.55
Costa Rica,CRI,2010,7,2000.00,522.12,3.83,535.71,2.60
Czech Republic,CZE,2010,7,67.64,19.75,3.43,18.12,-8.25
Denmark,DNK,2010,7,28.50,5.81,4.90,7.63,31.31
Egypt,EGY,2010,7,13.00,5.70,2.28,3.48,-38.90
Euro area,,2010,7,3.38,0.78,4.33,0.91,16.05
Hong Kong,HKG,2010,7,14.80,7.77,1.90,3.96,-49.01
Hungary,HUN,2010,7,740.00,221.97,3.33,198.21,-10.70
India,IND,2010,7,#N/A,#N/A,#N/A,#N/A,#N/A
Indonesia,IDN,2010,7,22780.00,9063.00,2.51,6101.79,-32.67
Israel,ISR,2010,7,14.90,3.86,3.86,3.99,3.34
Japan,JPN,2010,7,320.00,87.18,3.67,85.71,-1.68
Latvia,LVA,2010,7,1.55,0.55,2.80,0.42,-24.91
Lithuania,LTU,2010,7,7.30,2.69,2.71,1.96,-27.41
Malaysia,MYS,2010,7,7.05,3.21,2.19,1.89,-41.24
Mexico,MEX,2010,7,32.00,12.78,2.50,8.57,-32.94
New Zealand,NZL,2010,7,5.00,1.39,3.59,1.34,-3.84
Norway,NOR,2010,7,45.00,6.25,7.20,12.05,92.97
Pakistan,PAK,2010,7,210.00,85.53,2.46,56.25,-34.23
Peru,PER,2010,7,10.00,2.83,3.54,2.68,-5.27
Philippines,PHL,2010,7,102.00,46.47,2.19,27.32,-41.21
Poland,POL,2010,7,8.30,3.20,2.60,2.22,-30.46
Russia,RUS,2010,7,71.00,30.44,2.33,19.02,-37.53
Saudi Arabia,SAU,2010,7,10.00,3.75,2.67,2.68,-28.58
Singapore,SGP,2010,7,4.23,1.37,3.08,1.13,-17.55
South Africa,ZAF,2010,7,18.45,7.54,2.45,4.94,-34.43
South Korea,KOR,2010,7,3400.00,1204.45,2.82,910.71,-24.39
Sri Lanka,LKA,2010,7,210.00,112.78,1.86,56.25,-50.12
Sweden,SWE,2010,7,48.40,7.37,6.56,12.96,75.82
Switzerland,CHE,2010,7,6.50,1.05,6.19,1.74,65.68
Taiwan,TWN,2010,7,75.00,32.11,2.34,20.09,-37.43
Thailand,THA,2010,7,70.00,32.31,2.17,18.75,-41.96
Turkey,TUR,2010,7,5.95,1.53,3.89,1.59,4.21
UAE,ARE,2010,7,11.00,3.67,2.99,2.95,-19.78
Ukraine,UKR,2010,7,14.50,7.90,1.84,3.88,-50.83
United States,USA,2010,7,3.73,1.00,3.73,1.00,0.00
Uruguay,URY,2010,7,79.00,21.10,3.74,21.16,0.29
Venezuela,VEN,2010,7,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
