country,country_code,year,month,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Argentina,ARG,2002,4,2.50,3.13,0.78,1.00,-67.92
Australia,AUS,2002,4,3.00,1.86,1.62,1.20,-35.22
Brazil,BRA,2002,4,3.60,2.34,1.55,1.45,-38.21
Britain,GBR,2002,4,1.99,0.69,2.88,0.80,15.88
Canada,CAN,2002,4,3.33,1.57,2.12,1.34,-14.82
Chile,CHL,2002,4,1400.00,655.00,2.16,562.25,-14.16
China,CHN,2002,4,10.50,8.28,1.27,4.22,-49.07
Colombia,COL,2002,4,#N/A,#N/A,#N/A,#N/A,#N/A
Costa Rica,CRI,2002,4,#N/A,#N/A,#N/A,#N/A,#N/A
Czech Republic,CZE,2002,4,56.28,34.00,1.66,22.60,-33.52
Denmark,DNK,2002,4,24.75,8.38,2.96,9.94,18.61
Egypt,EGY,2002,4,#N/A,#N/A,#N/A,#N/A,#N/A
Euro area,,2002,4,2.67,1.12,2.37,1.07,-4.57
Hong Kong,HKG,2002,4,11.20,8.00,1.40,4.50,-43.78
Hungary,HUN,2002,4,459.00,272.00,1.69,184.34,-32.23
India,IND,2002,4,#N/A,#N/A,#N/A,#N/A,#N/A
Indonesia,IDN,2002,4,16000.00,9430.00,1.71,6425.70,-31.86
Israel,ISR,2002,4,12.00,4.79,2.51,4.82,0.61
Japan,JPN,2002,4,262.00,130.00,2.01,105.22,-19.06
Latvia,LVA,2002,4,#N/A,#N/A,#N/A,#N/A,#N/A
Lithuania,LTU,2002,4,#N/A,#N/A,#N/A,#N/A,#N/A
Malaysia,MYS,2002,4,5.04,3.80,1.33,2.02,-46.73
Mexico,MEX,2002,4,21.90,9.28,2.37,8.80,-5.22
New Zealand,NZL,2002,4,3.60,2.24,1.77,1.45,-35.46
Norway,NOR,2002,4,35.00,8.56,4.09,14.06,64.21
Pakistan,PAK,2002,4,#N/A,#N/A,#N/A,#N/A,#N/A
Peru,PER,2002,4,8.50,3.43,2.48,3.41,-0.48
Philippines,PHL,2002,4,65.00,51.00,1.28,26.10,-48.81
Poland,POL,2002,4,5.90,4.04,1.46,2.37,-41.35
Russia,RUS,2002,4,39.00,31.20,1.25,15.66,-49.80
Saudi Arabia,SAU,2002,4,#N/A,#N/A,#N/A,#N/A,#N/A
Singapore,SGP,2002,4,3.30,1.82,1.81,1.33,-27.18
South Africa,ZAF,2002,4,9.70,10.90,0.87,3.90,-64.26
South Korea,KOR,2002,4,3100.00,1304.00,2.36,1244.98,-4.53
Sri Lanka,LKA,2002,4,#N/A,#N/A,#N/A,#N/A,#N/A
Sweden,SWE,2002,4,26.00,10.40,2.52,10.44,0.40
Switzerland,CHE,2002,4,6.30,1.66,3.81,2.53,52.42
Taiwan,TWN,2002,4,70.00,34.80,2.01,28.11,-19.22
Thailand,THA,2002,4,55.00,43.30,1.27,22.09,-48.99
Turkey,TUR,2002,4,4000000.00,1324500.00,3.06,1606425.70,21.29
UAE,ARE,2002,4,#N/A,#N/A,#N/A,#N/A,#N/A
Ukraine,UKR,2002,4,#N/A,#N/A,#N/A,#N/A,#N/A
United States,USA,2002,4,2.49,1.00,2.49,1.00,0.00
Uruguay,URY,2002,4,#N/A,#N/A,#N/A,#N/A,#N/A
Venezuela,VEN,2002,4,2500.00,857.00,2.92,1004.02,17.15
