Country,country_code,Year,Month,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,currency
South Africa,ZAF,2006,5,13.95,6.597,2.114597544,4.5,-31.78717599,ZAR
South Korea,KOR,2006,5,2500,952.4,2.624947501,806.4516129,-15.32427416,KRW
Sri Lanka,LKA,2006,5,190,102.955,1.845466466,61.29032258,-40.46882368,LKR
Sweden,SWE,2006,5,33,7.28455,4.530135698,10.64516129,46.13340962,SEK
Switzerland,CHE,2006,5,6.3,1.20885,5.21156471,2.032258065,68.11499065,CHF
Taiwan,TWN,2006,5,75,32.141,2.333468156,24.19354839,-24.72683368,TWD
Thailand,THA,2006,5,60,38.445,1.560671089,19.35483871,-49.65577134,THB
Turkey,TUR,2006,5,4.2,1.5415,2.724618878,1.35483871,-12.10906846,TRY
UAE,ARE,2006,5,9,3.6726,2.450579971,2.903225806,-20.94903321,AED
Ukraine,UKR,2006,5,8.5,5.05,1.683168317,2.741935484,-45.70424784,UAH
United States,USA,2006,5,3.1,1,3.1,1,0,USD
Uruguay,URY,2006,5,42.28,23.925,1.767189133,13.63870968,-42.99389894,UYU
Venezuela,VEN,2006,5,5701.25,2519.58,2.262777923,1839.112903,-27.00716376,VEF
Vietnam,VNM,2006,7,0,0,0,0,0,VND
Austria,AUT,2006,7,0,0,0,0,0,EUR
Belgium,BEL,2006,7,0,0,0,0,0,EUR
Estonia,EST,2006,7,0,0,0,0,0,EUR
Finland,FIN,2006,7,0,0,0,0,0,EUR
France,FRA,2006,7,0,0,0,0,0,EUR
Germany,DEU,2006,7,0,0,0,0,0,EUR
Greece,GRC,2006,7,0,0,0,0,0,EUR
Ireland,IRL,2006,7,0,0,0,0,0,EUR
Italy,ITA,2006,7,0,0,0,0,0,EUR
Netherlands,NLD,2006,7,0,0,0,0,0,EUR
Portugal,PRT,2006,7,0,0,0,0,0,EUR
Spain,ESP,2006,7,0,0,0,0,0,EUR
Argentina,ARG,2005,6,4.75,2.897,1.639627201,1.552287582,-46.41741175,ARS
Australia,AUS,2005,6,3.25,1.3015,2.497118709,1.062091503,-18.39481343,AUD
Brazil,BRA,2005,6,5.9,2.4648,2.393703343,1.928104575,-21.77440055,BRL
Britain,GBR,2005,6,1.88,0.546448087,3.4404,0.614379085,12.43137255,GBP
Canada,CAN,2005,6,3.28,1.2494,2.625260125,1.071895425,-14.20718546,CAD
Chile,CHL,2005,6,1500,592.45,2.531859229,490.1960784,-17.25950233,CLP
China,CHN,2005,6,10.5,8.2764,1.268667537,3.431372549,-58.54027658,CNY
Colombia,COL,2005,6,6500,2327.7,2.792456073,2124.183007,-8.743265604,COP
Costa Rica,CRI,2005,6,1130,475.3,2.377445824,369.2810458,-22.30569204,CRC
Czech Republic,CZE,2005,6,56.42,24.5409,2.299019188,18.4379085,-24.86865397,CZK
Denmark,DNK,2005,6,27.75,6.0647,4.575659142,9.068627451,49.53134452,DKK
Egypt,EGY,2005,6,9,5.8,1.551724138,2.941176471,-49.29006085,EGP
Euro area,EUR,2005,6,2.92,0.814929509,3.583132,0.954248366,17.09581699,EUR
Hong Kong,HKG,2005,6,12,7.7807,1.542277687,3.921568627,-49.5987684,HKD
Hungary,HUN,2005,6,530,203.643,2.602593755,173.2026144,-14.94791651,HUF
India,IND,2005,6,0,0,0,0,0,INR
Indonesia,IDN,2005,6,14600,9545,1.529596647,4771.24183,-50.01318146,IDR
Israel,ISR,2005,6,0,0,0,0,0,ILS
Japan,JPN,2005,6,250,106.715,2.342688469,81.69934641,-23.44155329,JPY
Latvia,LVA,2005,6,1.09,0.5671,1.922059601,0.35620915,-37.18759472,LVL
Lithuania,LTU,2005,6,6.5,2.8132,2.310536044,2.124183007,-24.49228613,LTL
Malaysia,MYS,2005,6,5.25,3.8,1.381578947,1.715686275,-54.8503612,MYR
