country,country_code,year,month,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Argentina,ARG,2008,6,11.00,3.02,3.64,3.08,2.04
Australia,AUS,2008,6,3.45,1.03,3.36,0.97,-5.81
Brazil,BRA,2008,6,7.50,1.58,4.73,2.10,32.58
Britain,GBR,2008,6,2.29,0.50,4.57,0.64,28.03
Canada,CAN,2008,6,4.09,1.00,4.08,1.15,14.16
Chile,CHL,2008,6,1550.00,494.65,3.13,434.17,-12.23
China,CHN,2008,6,12.50,6.83,1.83,3.50,-48.76
Colombia,COL,2008,6,7000.00,1798.65,3.89,1960.78,9.01
Costa Rica,CRI,2008,6,1800.00,551.02,3.27,504.20,-8.50
Czech Republic,CZE,2008,6,66.08,14.50,4.56,18.51,27.67
Denmark,DNK,2008,6,28.00,4.70,5.95,7.84,66.72
Egypt,EGY,2008,6,13.00,5.31,2.45,3.64,-31.45
Euro area,,2008,6,3.37,0.63,5.34,0.94,49.66
Hong Kong,HKG,2008,6,13.30,7.80,1.71,3.73,-52.22
Hungary,HUN,2008,6,670.00,144.26,4.64,187.68,30.10
India,IND,2008,6,#N/A,#N/A,#N/A,#N/A,#N/A
Indonesia,IDN,2008,6,18700.00,9152.00,2.04,5238.10,-42.77
Israel,ISR,2008,6,#N/A,#N/A,#N/A,#N/A,#N/A
Japan,JPN,2008,6,280.00,106.86,2.62,78.43,-26.60
Latvia,LVA,2008,6,1.55,0.44,3.50,0.43,-2.06
Lithuania,LTU,2008,6,6.90,2.18,3.17,1.93,-11.22
Malaysia,MYS,2008,6,5.50,3.24,1.70,1.54,-52.42
Mexico,MEX,2008,6,32.00,10.17,3.15,8.96,-11.85
New Zealand,NZL,2008,6,4.90,1.32,3.72,1.37,4.16
Norway,NOR,2008,6,40.00,5.08,7.88,11.20,120.60
Pakistan,PAK,2008,6,140.00,70.90,1.97,39.22,-44.69
Peru,PER,2008,6,9.50,2.84,3.35,2.66,-6.30
Philippines,PHL,2008,6,87.00,44.49,1.96,24.37,-45.22
Poland,POL,2008,6,7.00,2.03,3.45,1.96,-3.48
Russia,RUS,2008,6,59.00,23.23,2.54,16.53,-28.87
Saudi Arabia,SAU,2008,6,10.00,3.75,2.67,2.80,-25.29
Singapore,SGP,2008,6,3.95,1.35,2.92,1.11,-18.21
South Africa,ZAF,2008,6,16.95,7.56,2.24,4.75,-37.22
South Korea,KOR,2008,6,3200.00,1018.05,3.14,896.36,-11.95
Sri Lanka,LKA,2008,6,210.00,107.55,1.95,58.82,-45.31
Sweden,SWE,2008,6,38.00,5.96,6.37,10.64,78.57
Switzerland,CHE,2008,6,6.50,1.02,6.36,1.82,78.13
Taiwan,TWN,2008,6,75.00,30.36,2.47,21.01,-30.81
Thailand,THA,2008,6,62.00,33.36,1.86,17.37,-47.94
Turkey,TUR,2008,6,5.15,1.19,4.32,1.44,20.95
UAE,ARE,2008,6,10.00,3.67,2.72,2.80,-23.73
Ukraine,UKR,2008,6,11.00,4.60,2.39,3.08,-33.02
United States,USA,2008,6,3.57,1.00,3.57,1.00,0.00
Uruguay,URY,2008,6,61.00,19.15,3.19,17.09,-10.77
Venezuela,VEN,2008,6,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
