country,country_code,year,month,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Argentina,ARG,2015,7,28,9.14,3.07,5.85,-36.01
Australia,AUS,2015,7,5.3,1.35,3.92,1.11,-18.12
Brazil,BRA,2015,7,13.5,3.15,4.28,2.82,-10.59
Britain,GBR,2015,7,2.89,0.64,4.51,0.60,-5.79
Canada,CAN,2015,7,5.85,1.29,4.54,1.22,-5.30
Chile,CHL,2015,7,2100,642.45,3.27,438.41,-31.76
China,CHN,2015,7,17,6.21,2.74,3.55,-42.84
Colombia,COL,2015,7,7900,2708.90,2.92,1649.27,-39.12
Costa Rica,CRI,2015,7,2150,533.30,4.03,448.85,-15.84
Czech Republic,CZE,2015,7,70,24.70,2.83,14.61,-40.84
Denmark,DNK,2015,7,34.59,6.81,5.08,7.22,6.02
Egypt,EGY,2015,7,16.93,7.83,2.16,3.53,-54.86
Euro area,,2015,7,3.7,0.91,4.05,0.77,-15.37
Hong Kong,HKG,2015,7,19.2,7.75,2.48,4.01,-48.28
Hungary,HUN,2015,7,900,282.88,3.18,187.89,-33.58
India,IND,2015,7,116.25,63.43,1.83,24.27,-61.74
Indonesia,IDN,2015,7,30500,13344.50,2.29,6367.43,-52.28
Israel,ISR,2015,7,17.5,3.78,4.63,3.65,-3.31
Japan,JPN,2015,7,370,123.94,2.99,77.24,-37.67
Latvia,LVA,2015,7,2.45,0.91,2.68,0.51,-43.96
Lithuania,LTU,2015,7,2.59,0.91,2.84,0.54,-40.76
Malaysia,MYS,2015,7,7.65,3.81,2.01,1.60,-58.04
Mexico,MEX,2015,7,49,15.74,3.11,10.23,-35.01
New Zealand,NZL,2015,7,5.9,1.51,3.91,1.23,-18.38
Norway,NOR,2015,7,46,8.14,5.65,9.60,17.94
Pakistan,PAK,2015,7,350,101.70,3.44,73.07,-28.15
Peru,PER,2015,7,10,3.18,3.14,2.09,-34.42
Philippines,PHL,2015,7,163,45.21,3.61,34.03,-24.73
Poland,POL,2015,7,9.6,3.77,2.54,2.00,-46.89
Russia,RUS,2015,7,107,56.82,1.88,22.34,-60.68
Saudi Arabia,SAU,2015,7,12,3.75,3.20,2.51,-33.20
Singapore,SGP,2015,7,4.7,1.37,3.44,0.98,-28.19
South Africa,ZAF,2015,7,26,12.41,2.09,5.43,-56.28
South Korea,KOR,2015,7,4300,1143.50,3.76,897.70,-21.50
Sri Lanka,LKA,2015,7,350,133.85,2.61,73.07,-45.41
Sweden,SWE,2015,7,43.7,8.52,5.13,9.12,7.05
Switzerland,CHE,2015,7,6.5,0.95,6.82,1.36,42.42
Taiwan,TWN,2015,7,79,31.02,2.55,16.49,-46.83
Thailand,THA,2015,7,108,34.09,3.17,22.55,-33.86
Turkey,TUR,2015,7,10.25,2.65,3.87,2.14,-19.12
UAE,ARE,2015,7,13,3.67,3.54,2.71,-26.11
Ukraine,UKR,2015,7,34,21.95,1.55,7.10,-67.66
United States,USA,2015,7,4.79,1.00,4.79,1.00,0.00
Uruguay,URY,2015,7,113,27.35,4.13,23.59,-13.73
Venezuela,VEN,2015,7,132,197.00,0.67,27.56,-86.01
Vietnam,VNM,2015,7,60000,21810.00,2.75,12526.10,-42.57
Austria,AUT,2015,7,3.39,0.91,3.71,0.71,-22.46
Belgium,BEL,2015,7,3.7,0.91,4.05,0.77,-15.37
Estonia,EST,2015,7,2.95,0.91,3.23,0.62,-32.52
Finland,FIN,2015,7,4.1,0.91,4.49,0.86,-6.22
France,FRA,2015,7,4.1,0.91,4.49,0.86,-6.22
Germany,DEU,2015,7,3.59,0.91,3.93,0.75,-17.88
Greece,GRC,2015,7,3.05,0.91,3.34,0.64,-30.24
Ireland,IRL,2015,7,3.7,0.91,4.05,0.77,-15.37
Italy,ITA,2015,7,4,0.91,4.38,0.84,-8.51
Netherlands,NLD,2015,7,3.45,0.91,3.78,0.72,-21.09
Portugal,PRT,2015,7,3,0.91,3.29,0.63,-31.38
Spain,ESP,2015,7,3.65,0.91,4.00,0.76,-16.51
